timestamp,city,temperature,light,airquality_raw,sound,humidity,dust
2016-03-10T12:00:00.000Z,San Francisco,22.9426772030651,1685.62341954023,47.6197796934866,1234.18352490421,1,413.417660680077
2016-03-10T18:00:00.000Z,San Francisco,23.4047064421849,1585.91443781314,44.6126872728166,1246.47022055212,1,388.800226311524
2016-03-11T00:00:00.000Z,San Francisco,21.6828049169859,112.06409642401,44.671408045977,1236.64217752235,1,381.892447557471
2016-03-11T06:00:00.000Z,San Francisco,20.9751089385863,0,42.7949605058582,1129.21946665556,1,334.543146766894
2016-03-11T12:00:00.000Z,San Francisco,18.1937029524454,339.940485312899,33.5443242431072,1366.85778679288,3.78400871459695,419.885374276914
2016-03-11T18:00:00.000Z,San Francisco,20.0611358897949,3283.1460732745,32.9902053246881,1326.88398008973,1,440.405485912581
2016-03-12T00:00:00.000Z,San Francisco,17.0425670498084,297.925167624521,31.4614224137931,1348.66922094508,1,456.971211925287
2016-03-12T06:00:00.000Z,San Francisco,17.441125463577,0,37.8736188607848,1208.55146048237,1,381.842668832453
2016-03-12T12:00:00.000Z,San Francisco,18.9644079421701,707.409631391201,36.4645387514234,1222.4063119617,1.32827586206897,353.756762344526
2016-03-12T18:00:00.000Z,San Francisco,22.7920625798212,2867.89439655172,37.8659642401022,1173.67062579821,1,379.663883141762
2016-03-13T00:00:00.000Z,San Francisco,20.1919923371647,167.176045657727,42.1657407407407,1178.15542784163,1,537.744485871648
2016-03-13T06:00:00.000Z,San Francisco,19.8029635331144,0,39.9983967341726,1152.97802864441,1,395.076828384419
2016-03-13T12:00:00.000Z,San Francisco,19.8349537037037,412.48595945083,37.9785351922804,1185.53298921527,1,366.790586836597
2016-03-13T18:00:00.000Z,San Francisco,21.5784484754151,2435.53646032886,39.195939096424,1186.24154693487,1,456.564996886973
2016-03-14T00:00:00.000Z,San Francisco,20.8245027139208,139.684626436782,50.4796096743295,1167.00651340996,1,523.022107339559
2016-03-14T06:00:00.000Z,San Francisco,19.8778791507024,0,48.7464160280971,1173.71235632184,1,476.380288074713
2016-03-14T12:00:00.000Z,San Francisco,19.9727442528736,1991.04239303959,42.1523227969349,1216.85600255428,1,395.560299169859
2016-03-14T18:00:00.000Z,San Francisco,22.4422937420179,4414.01532977559,35.5499656768838,1230.57640120416,1,440.970971831098
2016-03-15T00:00:00.000Z,San Francisco,17.5115189974457,658.100407088123,40.5965916347382,1330.50779054917,1,501.256558030013
2016-03-15T06:00:00.000Z,San Francisco,17.1187372286079,0,47.3149744572158,1239.71724137931,1,433.947444763729
2016-03-15T12:00:00.000Z,San Francisco,18.4654686644773,2214.00040936873,44.088240056559,1218.7376208721,1,382.295486578635
2016-03-15T18:00:00.000Z,San Francisco,23.3678560372591,3615.84115789328,36.286799308679,1270.71810761286,1,406.714092651591
2016-03-16T00:00:00.000Z,San Francisco,18.5806230842912,626.699672733078,35.9340724776501,1318.5175734355,1,531.337873212005
2016-03-16T06:00:00.000Z,San Francisco,17.1463314176245,0,40.7221044859515,1188.5504789272,1,401.048117377076
2016-03-16T12:00:00.000Z,San Francisco,20.1092824074074,2288.992516319,49.4400054987938,1227.14387682702,1,415.937287773166
2016-03-16T18:00:00.000Z,San Francisco,26.7139878671775,3603.79395753512,41.4876356960409,1214.61992337165,1,366.629615421456
2016-03-17T00:00:00.000Z,San Francisco,22.4614522203184,1001.93280413365,32.4499411008781,1242.40233811666,1,451.689259432784
